id,emoji,useMP,lifeTime,maxSpeed,damage,InfoText,en,zh-Hans,es,fr,de,pt-BR,ko,ru
FIREBALL,🔥,10,1000,0.5,10,前方に放つ火球が命中時に小さな爆発を起こす基本攻撃魔法,A basic attack magic that shoots a fireball forward and creates a small explosion when it hits.,一种基本攻击魔法，可以向前发射火球并在击中时产生小爆炸。,Un ataque mágico básico que dispara una bola de fuego hacia adelante y crea una pequeña explosión cuando impacta.,Une magie d'attaque de base qui tire une boule de feu vers l'avant et crée une petite explosion lorsqu'elle touche.,"Ein grundlegender Angriffszauber, der einen Feuerball nach vorne schießt und beim Aufprall eine kleine Explosion erzeugt.",Um ataque mágico básico que dispara uma bola de fogo para frente e cria uma pequena explosão ao atingir.,전방에 발하는 화구가 명중시에 작은 폭발을 일으키는 기본 공격 마법,"Базовая магическая атака, которая стреляет огненным шаром вперед и создает небольшой взрыв при попадании."
ICE,❄️,8,1200,0.6,8,氷の矢を飛ばし命中した敵の移動速度を短時間低下させる,Fires ice arrows that briefly slow down the movement speed of enemies hit.,发射冰箭，短暂减缓被击中的敌人的移动速度。,Dispara flechas de hielo que reducen brevemente la velocidad de movimiento de los enemigos alcanzados.,Tire des flèches de glace qui ralentissent brièvement la vitesse de déplacement des ennemis touchés.,"Feuert Eispfeile ab, die die Bewegungsgeschwindigkeit getroffener Feinde kurzzeitig verlangsamen.",Dispara flechas de gelo que reduzem brevemente a velocidade de movimento dos inimigos atingidos.,얼음의 화살을 날려 명중한 적의 이동 속도를 단시간 저하시킨다,"Выстреливает ледяными стрелами, которые ненадолго замедляют скорость передвижения пораженных врагов."
LIGHTNING,⚡,15,800,0.8,15,直線状に稲妻を走らせ即時高ダメージを与える貫通魔法,A piercing magic spell that deals high damage instantly by sending lightning bolts in a straight line.,一种穿透魔法，通过直线发射闪电来立即造成高伤害。,Un hechizo mágico penetrante que causa un gran daño instantáneamente enviando rayos en línea recta.,Un sort magique perçant qui inflige instantanément des dégâts importants en envoyant des éclairs en ligne droite.,"Ein durchdringender Zauberspruch, der durch das Senden von Blitzen in einer geraden Linie sofort großen Schaden verursacht.",Um feitiço mágico penetrante que causa alto dano instantaneamente ao enviar raios em linha reta.,직선상으로 번개를 달리며 즉시 높은 데미지를 주는 관통 마법,"Пронзающее магическое заклинание, которое мгновенно наносит большой урон, посылая молнии по прямой линии."
TORNADO,🌪️,12,1500,0.4,9,渦巻く突風で敵を引き寄せながら持続ダメージを与える,A swirling gust of wind pulls enemies in and deals continuous damage.,一阵旋转的阵风将敌人拉过来并造成持续伤害。,Una ráfaga de viento arremolinada atrae a los enemigos y les inflige daño continuo.,Une rafale de vent tourbillonnante attire les ennemis et leur inflige des dégâts continus.,Ein wirbelnder Windstoß zieht Feinde heran und verursacht kontinuierlich Schaden.,Uma rajada de vento atrai os inimigos e causa dano contínuo.,소용돌이치는 돌풍으로 적을 끌어들이면서 지속 데미지를 준다,Закручивающийся порыв ветра притягивает врагов и наносит им постоянный урон.
METEOR,☄️,25,600,0.9,22,頭上から隕石を呼び出し着弾点で大爆発を起こす,"Summons a meteorite from above, causing a huge explosion at the point of impact.",从上方召唤一颗陨石，在撞击点引起巨大的爆炸。,"Invoca un meteorito desde arriba, provocando una enorme explosión en el punto de impacto.","Invoque une météorite d'en haut, provoquant une énorme explosion au point d'impact.","Beschwört einen Meteoriten von oben herauf, der am Aufprallpunkt eine gewaltige Explosion verursacht.","Invoca um meteorito do alto, causando uma enorme explosão no ponto de impacto.",머리 위에서 운석을 호출 착탄점에서 대폭발을 일으킨다,"Вызывает метеорит сверху, вызывая огромный взрыв в точке падения."
EXPLOSION,💥,18,500,0.3,20,その場で瞬間的に大爆発を起こす広範囲魔法（自分は無傷）,A wide-range magic spell that instantly causes a large explosion on the spot (self unharmed),大范围魔法，瞬间在原地引发大爆炸（自身无伤）,Un hechizo mágico de amplio alcance que provoca instantáneamente una gran explosión en el lugar (sin sufrir daño alguno).,Un sort magique à large portée qui provoque instantanément une grande explosion sur place (sans se blesser),"Ein Zauberspruch mit großer Reichweite, der sofort eine große Explosion an Ort und Stelle verursacht (selbst unverletzt).",Um feitiço mágico de amplo alcance que causa instantaneamente uma grande explosão no local (não se machuca),그 자리에서 순간적으로 대폭발을 일으키는 광범위한 마법(자신은 무상),"Широкомасштабное магическое заклинание, которое мгновенно вызывает большой взрыв на месте (не причиняя вреда самому себе)."
GUST,💨,6,400,1,5,高速突風で一直線に射程を薙ぎ払う,A high-speed gust of wind sweeps across the range in a straight line.,一阵高速的狂风直线席卷山脉。,Una ráfaga de viento de alta velocidad recorre la cordillera en línea recta.,Une rafale de vent à grande vitesse balaie la chaîne en ligne droite.,Eine schnelle Windböe fegt in gerader Linie über die Bergkette.,Uma rajada de vento de alta velocidade varre a cordilheira em linha reta.,고속 돌풍으로 일직선으로 사거리를 얹고,Сильный порыв ветра проносится через хребет по прямой линии.
BUBBLE,🫧,7,1800,0.3,6,泡で敵を包み短時間行動不能にする（ダメージ小）,"Wraps enemies in bubbles, immobilizing them for a short period of time (small damage)",将敌人包裹在气泡中，使其短时间内无法移动（造成小额伤害）,"Envuelve a los enemigos en burbujas, inmovilizándolos por un corto período de tiempo (daño pequeño)","Enveloppe les ennemis dans des bulles, les immobilisant pendant une courte période (petits dégâts)",Hüllt Feinde in Blasen und macht sie für kurze Zeit bewegungsunfähig (geringer Schaden),"Envolve os inimigos em bolhas, imobilizando-os por um curto período de tempo (pequeno dano)",거품으로 적을 감싸 단시간 행동 불능으로 한다(데미지 소),"Окутывает врагов пузырями, обездвиживая их на короткий промежуток времени (небольшой урон)"
RAINBOW,🌈,20,1200,0.5,0,七色の光が味方を回復・バフし敵には微弱ダメージ,Rainbow light heals and buffs allies and deals slight damage to enemies,彩虹光可以治疗并增强盟友，并对敌人造成轻微伤害,La luz del arcoíris cura y mejora a los aliados e inflige un daño leve a los enemigos.,La lumière arc-en-ciel soigne et améliore les alliés et inflige de légers dégâts aux ennemis,Regenbogenlicht heilt und stärkt Verbündete und fügt Feinden leichten Schaden zu,A luz do arco-íris cura e fortalece aliados e causa dano leve aos inimigos,일곱 색의 빛이 아군을 회복 · 버프하고 적에게는 미약 데미지,"Радужный свет исцеляет и усиливает союзников, а также наносит небольшой урон врагам."
WEB,🕸️,9,2000,0.2,4,粘着性の糸を張り巡らせ敵の移動速度を大幅低下,Spreads sticky threads to greatly reduce enemy movement speed.,散布粘性丝线以大幅降低敌人的移动速度。,Extiende hilos pegajosos para reducir en gran medida la velocidad de movimiento del enemigo.,Répand des fils collants pour réduire considérablement la vitesse de déplacement de l'ennemi.,"Verbreitet klebrige Fäden, um die Bewegungsgeschwindigkeit des Gegners erheblich zu verringern.",Espalha fios pegajosos para reduzir bastante a velocidade de movimento do inimigo.,점착성의 실을 휘둘러 적의 이동 속도를 대폭 저하,"Распространяет липкие нити, значительно снижающие скорость передвижения врагов."
