id,emoji,type,value,shopcost,drop,shop,filtertype,infotext,en,zh-Hans,es,fr,de,pt-BR,ko,ru
COIN,🪙,coin,3,0,0.75,0,drop,コインを3枚獲得する,Earn 3 coins,赚取 3 个硬币,Gana 3 monedas,Gagnez 3 pièces,Verdiene 3 Münzen,Ganhe 3 moedas,동전 3장 획득,Заработайте 3 монеты
wheat,🌾,item,30,18,0.0025,1,town_taidport,アイテム,item,物品,artículo,],Artikel,item,아이템,элемент
MASHROOM,🍄,item,30,52,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
BREAD,🍞,item,100,40,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
CHICKEN,🍗,item,50,78,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
APPLE,🍎,item,30,78,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
CHEESE,🧀,item,250,195,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
MILK,🥛,item,30,85,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
STEW,🥘,item,500,390,0.0025,1,town_taidport,HPを30回復する,Recover 30 HP,恢复30点生命值,Recuperar 30 HP,Récupérer 30 HP,30 HP wiederherstellen,Recuperar 30 HP,HP 30회복,Восстановить 30 HP
AMULET,🧿,item,1,390,0.0025,1,town_magic,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
CRYSTAL,🔮,item,1,494,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
STAR,🌟,item,1,598,0.0025,1,town_kingdom,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
CANDLE,🕯️,item,1,702,0.0025,1,town_green,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
GEM,💎,item,1,806,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
BEADS,📿,item,1,910,0.0025,1,town_green,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
AMPHORA,🏺,item,1,1014,0.0025,1,town_magic,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
KEY,🗝️,item,1,1118,0.0025,1,town_magic,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
BUCKET,🪣,item,1,1222,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
THREAD,🧵,item,1,1326,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Hook,🪝,item,1,780,0.0025,1,town_green,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Axe,🪓,item,1,1480,0.0025,1,town_green,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Saw,🪚,item,1,1350,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Hammer,🔨,item,1,1280,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
Pick,⛏️,item,1,1210,0.0025,1,town_green,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
FEATHER,🪶,item,1,1430,0.0025,1,town_craft,アイテム,item,物品,artículo,article,Artikel,item,아이템,элемент
